,copy number,gamma,growth_rates,mutation_rate,omega,partitioning,pop_size,selection mode,tau,time
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,479.239619809905,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,0.0,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,958.47923961981,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,True,10000.0,dominant,0.0,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,True,10000.0,dominant,0.0,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-06,0.0,True,10000.0,dominant,0.0,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-05,0.0,False,10000.0,dominant,194.09704852426214,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-05,0.0,False,10000.0,dominant,173.08654327163583,2000.0
0,4,0,[0.97 1.   1.   1.  ],1e-05,0.0,False,10000.0,dominant,352.17608804402204,2000.0
0,4,390.1950975487744,[0.97 1.   1.   1.  ],1e-05,390.1950975487744,True,10000.0,dominant,389.19459729864934,2000.0
0,4,204.10205102551276,[0.97 1.   1.   1.  ],1e-05,204.10205102551276,True,10000.0,dominant,204.10205102551276,2000.0
0,4,200.10005002501254,[0.97 1.   1.   1.  ],1e-05,200.10005002501254,True,10000.0,dominant,200.10005002501254,2000.0
0,4,0,[0.97 1.   1.   1.  ],0.0001,1832.9164582291146,False,10000.0,dominant,159.07953976988495,2000.0
0,4,0,[0.97 1.   1.   1.  ],0.0001,0.0,False,10000.0,dominant,191.09554777388695,2000.0
0,4,0,[0.97 1.   1.   1.  ],0.0001,1395.6978489244623,False,10000.0,dominant,145.0725362681341,2000.0
0,4,259.12956478239124,[0.97 1.   1.   1.  ],0.0001,259.12956478239124,True,10000.0,dominant,258.12906453226617,2000.0
0,4,243.1215607803902,[0.97 1.   1.   1.  ],0.0001,243.1215607803902,True,10000.0,dominant,246.1230615307654,2000.0
0,4,280.1400700350175,[0.97 1.   1.   1.  ],0.0001,280.1400700350175,True,10000.0,dominant,285.1425712856428,2000.0
0,11,0,[0.97 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,235.11755877938973,2000.0
0,11,0,[0.97 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,1028.5142571285644,2000.0
0,11,0,[0.97 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  ],1e-06,0.0,False,10000.0,dominant,148.07403701850927,2000.0
0,11,0,[0.97 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  ],1e-06,0.0,True,10000.0,dominant,0.0,2000.0
0,11,0,[0.97 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.  ],1e-06,0.0,True,10000.0,dominant,0.0,2000.0
